Wiederaufnahme der Sitzungsperiode	Resumption of the session
Ich weise darauf hin, ich bedauere es, und ich bin mir der Tatsache bewusst, dass wir am Mittwoch eine ausgefüllte Tagesordnung haben, doch vielleicht müssten wir dies ändern, denn die parlamentarische Debatte sollte nichtsdestotrotz von größerer Bedeutung sein als die Beiträge der Organe.	I am sorry to have to point this out, as I know we have a very busy day on Wednesday, but let us try to change this, as, after all, parliamentary debate should take precedence over the institutions.
Vielen Dank, Herr Dell'Alba.	Thank you, Mr Dell' Alba.
Ich nehme Ihre Anmerkung gerne zur Kenntnis.	I will, of course, take note of your comment.
Frau Präsidentin! Ich möchte an die Wortmeldung des Kollegen Dell'Alba anknüpfen und auch etwas zu Mittwoch sagen.	Madam President, I would like to take up some points made by Mr Dell'Alba and also say something about Wednesday' s sitting.
Der Mittwoch ist nicht nur völlig überfüllt, sondern es werden auch wichtige Berichte - wie der Bericht Sjöstedt über natürliche Lebensräume und andere - ohne Aussprache behandelt, was ich für abwegig halte.	Not only is Wednesday' s agenda completely overbooked, but important reports - such as the Sjöstedt report on natural habitats, as well as others - are being handled without debate, which is wrong to my mind.
Dies ist jedoch die Folge der katastrophalen Fehlentscheidung, den Freitag zu streichen, worauf ich bei dieser Gelegenheit hinweisen möchte.	This can be put down to the disastrous decision to cancel Friday sittings, which I would like to take this opportunity to highlight.
Frau Präsidentin, ich habe um das Wort gebeten, um mich zu der am Dienstag stattfindenden gemeinsamen Aussprache über die Fischerei zu äußern.	Madam President, I have requested the floor in order to speak about Tuesday' s joint debate on fisheries.
An diesem Tag ist eine wichtige Aussprache vorgesehen und die Konferenz der Präsidenten hat beschlossen, eine Erklärung der Kommission zum Fischereiabkommen mit Marokko ohne Entschließung aufzunehmen.	A major debate has been scheduled for that day and the Conference of Presidents has decided to include a Commission statement on the Fisheries Agreement with Morocco without a resolution.
Wie Sie wissen, handelt es sich dabei um eine sehr delikate Angelegenheit, und ich hätte gern einige Erläuterungen dazu, denn die Aufnahme dieses Tagesordnungspunktes kann die allgemeine Aussprache etwas verzerren.	As you know, this is a very sensitive issue and I would ask you to clarify a few things, as the inclusion of this issue may somewhat distort the overall debate.
Ich möchte Sie zunächst darum bitten, mir zu sagen, auf wessen Antrag hin dieser Punkt aufgenommen wurde, d. h., hat die Kommission selbst darum ersucht oder eine Fraktion.	I would ask you first of all to state at whose behest this was included, in other words, whether it was the Commission itself that made the request or one of the political groups.
Andererseits wäre es normal, wenn die gemeinsame Aussprache zu den vier Berichten geführt würde und anschließend die Kommission, gefolgt von einer weiteren Aussprache, ihre Erklärung abgäbe.	Furthermore, in accordance with the debate' s agenda, the normal course of action would be for the joint debate on the four reports to take place and then for the Commission' s statement to be made and a further debate on this to take place.
Da das offenbar nicht möglich sein wird, weil die Fraktionen die Dauer der Wortmeldungen der Abgeordneten aufgeteilt haben, bitte ich darum, dass die Erklärung der Kommission in diesem Fall zuerst behandelt wird, damit die Abgeordneten sich während der Aussprache zu Wort melden können und die Erklärung der Kommission nicht mitten in der Aussprache abgegeben wird, wodurch verhindert würde, dass alle Abgeordneten unter den gleichen Bedingungen auf diese Erklärung der Kommission reagieren können.	Since it no longer appears possible for events to take place in this way, because the political groups have already distributed Members' speaking times, I would ask that, in this case, the Commission statement should be the first item so that Members may speak in the debate and so that the Commission statement is not made in the middle of the debate, which would prevent all Members from being in an equal position to respond to this statement by the Commission.
Frau Präsidentin, ich antworte hier sehr gern.	Madam President, I shall be delighted to reply to Mr Varela Suanzes-Carpegna.
Die sozialistische Fraktion hat um diese Erklärung der Kommission ersucht. Ich weiß nicht, ob sich eine andere Fraktion angeschlossen hat.	The Socialist Group requested this Commission statement - I do not know if any of the other groups made the same request.
Der Grund liegt auf der Hand: In den vergangenen Tagen konnten wir live im Fernsehen verfolgen, wie Kommissar Fischler die Verhandlungen abgebrochen hat; Präsident Prodi - es ist mir nicht bekannt, ob er noch in Marokko weilt - hat einen neuen Vorschlag unterbreitet und die Verhandlungen wieder aufgenommen; einige Landwirtschafts- oder Fischereiminister - unter ihnen der spanische - haben Stellung genommen, und es wäre sinnvoll, wenn wir dieses Thema behandeln könnten und wenigstens so informiert wären - es wird keine Entschließung beantragt - wie die Fernsehsprecher.	We did so for a very simple reason: in the last few days we have seen Commissioner Fischler suspend negotiations on live television; Mr Prodi - I do not know if he is still in Morocco - has submitted a new proposal and restarted negotiations; some Ministers for Agriculture or Fisheries, including the Spanish Minister, have also made statements, and it makes sense that we should be able to debate this issue and that we should be at least as well informed - we are not asking for a resolution - as television newsreaders.
Tatsächlich ist dies angesichts der Tatsache, dass man anhand von vier Berichten über die Zukunft der Fischereipolitik debattiert, der am besten geeignete Moment für diese Erklärung der Kommission.	This really is the most appropriate time, when we are discussing the future of our fisheries policy on the basis of four reports, for the Commission to make this statement.
Das hat die sozialistische Fraktion veranlasst, um diese Erklärung zu ersuchen.	This is the thinking that led the Socialist Group to make this request.
Vielen Dank, Herr Barón Crespo.	Thank you, Mr Barón Crespo.
Herr Varela, Herr Barón Crespo hat Ihnen damit geantwortet.	Mr Varela, Mr Barón Crespo has given you your answer.
Der Antrag wurde von der Fraktion der Europäischen Sozialdemokraten vorgelegt, doch ich möchte darauf hinweisen, dass er die Zustimmung aller Mitglieder der Konferenz der Präsidenten erhalten hat.	The request was made by the Group of the Party of the European Socialists, but I can inform you that it was approved unanimously by the Conference of Presidents.
Frau Präsidentin, ich bat um eine Erläuterung; ich will durchaus nicht über die Zweckmäßigkeit einer Erklärung der Kommission diskutieren, die offensichtlich gegeben ist.	Madam President, I asked for clarification; I have absolutely no intention of arguing about the appropriateness of a Commission statement. It clearly is appropriate.
Ich möchte, dass klar ist, dass wir die Erklärung unterstützen und ich glaube, dass man sie in der Konferenz der Präsidenten ebenfalls unterstützt hat.	I want to make it clear that we support it, and I believe that it was also supported in the Conference of Presidents of political groups, but today I have a meeting with the Committee on Fisheries, an extraordinary meeting, and this issue will logically be dealt with.
Aber ich habe heute eine Versammlung des Fischereiausschusses, eine außerordentliche Versammlung, und da wird sich diese Problematik logischerweise stellen, und als Präsident dieses Ausschusses würde ich gern sämtliche Informationen erhalten, um diese an meine Kollegen weiterzuleiten.	As Chairman of that committee, I wanted to have all the information so that I could communicate it to the other committee members. The statement is therefore welcome.
Die Erklärung ist also willkommen; es gibt keinen einzigen Einwand, ganz und gar nicht; unsere Fraktion hat die Erklärung auch unterstützt.	In no way do we oppose it. Far from it.
Damit die Aussprache ordnungsgemäß abläuft - das beunruhigt mich am meisten, weil diese Frage möglicherweise die vier anstehenden wichtigen Fischereiaussprachen verzerren könnte -, wäre es normal, wenn die Erklärung nach dieser Aussprache abgegeben und uns dann Zeit gegeben würde, mit der Debatte über diese Frage fortzufahren, obwohl mir dies nicht möglich zu sein scheint.	Our group has also supported it. So that the debate may be held in an ordered fashion, which is what most concerns me, because this issue could distort the four important fisheries debates which we have on the agenda, it would be normal for this statement to be made after that debate, and that would then give us time to continue discussing this issue, although it seems that that will not be possible.
Die zuständigen Dienste haben mir folgende Reihenfolge der Wortmeldungen mitgeteilt: zunächst haben die vier Berichterstatter und dann das Kommissionsmitglied das Wort, um die besagte Erklärung abzugeben.	The competent services had informed me that the order of interventions would be as follows: firstly the four rapporteurs of the reports, and then the Commissioner would be given the floor to make the aforementioned statement.
Die Berichterstatter könnten in diesem Fall in der gemeinsamen Aussprache dem Kommissionsmitglied nicht antworten.	In that case, the rapporteurs would not be able to reply to the Commissioner during the joint debate.
Ich möchte Sie daher bitten, dass die Erklärung der Kommission zuerst abgegeben wird und dann die Redner zu Wort kommen, damit alle Abgeordneten das gleiche Recht auf Information haben und auf die Erklärung des Kommissionsmitglieds antworten können.	What I therefore ask is that the Commission statement be made first and that then the speakers should take the floor, so that everybody might have the same right as MEPs to hear, and be able to reply to, the statement by the Commissioner.
Frau Präsidentin, ich möchte Herrn Varela Suanzes-Carpegna darüber informieren, dass dies die Absichten der Konferenz der Präsidenten sind, aber ich sehe, dass die zuständigen Dienste das schon weitergegeben haben.	Madam President, I wish to inform Mr Varela Suanzes-Carpegna that these are the terms of the Conference of Presidents, but I see that the relevant services have already explained this to him.
Die Idee war - auf Ersuchen der Mehrheit der Fraktionsvorsitzenden -, dass zunächst die vier Berichterstatter das Wort ergreifen und anschließend der Vertreter der Kommission spricht.	The idea - at the request of most group Chairmen - was that the four rapporteurs would speak first, and then the representative of the Commission would follow.
So wurde es auf der Konferenz der Präsidenten, auf der ich die Ehre hatte, Sie, Frau Präsidentin, zu vertreten, besprochen.	This was what happened in the Conference of Presidents, at which I had the honour of representing you, Madam President.
Der Antrag des Herrn Varela ist eine andere Angelegenheit.	Mr Varela' s request is out of place.
Frau Präsidentin, ich möchte Ihnen kurz erläutern, warum meine Fraktion diesen Vorschlag zu einer Angelegenheit eingereicht hat, die vor allem in französischen Zeitungen behandelt wird und sich langsam aber sicher als Danone-Affäre entpuppt.	Madam President, I would like to explain very briefly why my group has tabled this motion which, relates to what is becoming known, in the French newspapers in particular, as the Danone case.
Diese Frage ist von großer Bedeutung und sprengt den bloßen Rahmen eines Konzerns.	This is an important issue that goes beyond the limits of responsibility of one group.
Im vorliegenden Fall geht es um die Politik eines großen Nahrungsmittelkonzerns, der Umsätze erzielt hat, die selbst der Konzernchef als hervorragend bezeichnet, und zur gleichen Zeit den Beschluss fasst, 3 000 Stellen zu streichen und mehrere Werke in einigen Mitgliedstaaten der Europäischen Union zu schließen.	As it happens, it concerns the policy of a large food processing company which has recently achieved financial results described by the president of the company himself as excellent, and which, at the same time, decided to shed 3 000 jobs and to close several sites in various Member States of the European Union.
Meiner Ansicht nach können wir nicht auf der einen Seite die Vollbeschäftigung zu einer Aktionspriorität der Europäischen Union erheben und uns mit der Ausarbeitung eines Statuts der Europäischen Aktiengesellschaft beschäftigen, das neue Rechte für Arbeitnehmer vorsieht, und auf der anderen Seite passiv eine derartige Strategie hinnehmen, die den Gesetzen der Aktienmärkte Vorrang vor allen anderen Erwägungen einräumt.	It seems to me that we cannot, on the one hand, make full employment a priority for European Union action and work on drafting a European Company Statute to lay down new rights for employees and, on the other hand, calmly accept this type of strategy, which puts the interests of shareholders before everything.
Daher schlage ich eine Dringlichkeitsdebatte zu dieser Angelegenheit vor.	This is why I propose an urgent debate on this matter.
Frau Präsidentin! Meine Fraktion wird diesem Vorschlag zustimmen, weil wir genau die Ansichten von Herrn Wurtz teilen, dass es sich hierbei wegen der Bedeutung der Danone-Firmengruppe und der Auswirkungen der vorgeschlagenen Maßnahmen auf mehrere Länder nicht um eine rein französische, sondern um eine europäische Angelegenheit handelt.	Madam President, my group will be voting in favour of this proposal because, to take up Mr Wurtz' s arguments, this is not just a French issue, but a European issue, both because of the size of the Danone Group and because of the potential repercussions of the measures proposed in various countries.
Angesichts der Tatsache, dass mit dem Vertrag von Nizza das Statut der Europäischen Aktiengesellschaft angenommen wurde, meinen wir, dass es sich um ein hochaktuelles Thema handelt, das auch mit der schwedischen Präsidentschaft verbunden ist.	Furthermore, because the European Company Statute has been approved by the Treaty of Nice, we feel that this is an extremely topical issue and one that also needs to be addressed by the Swedish Presidency.
Unter Berücksichtigung dessen, dass man in meiner Fraktion auch die Lage anderer multinationaler Unternehmen, denen Bedeutung in Europa und in der Welt auf dem Gebiet der Automobilindustrie und der Metallurgie zukommt, angesprochen hat, glauben wir, dass dieses Thema eine gründliche Erörterung im Ausschuss für Beschäftigung und soziale Angelegenheiten verdient.	Bearing in mind the fact that my group has also brought up the situation of other multinational companies that operate across Europe or even worldwide in the car and steel manufacturing sectors, we feel that this issue should be given substantial consideration in the Committee on Employment and Social Affairs.
Vielleicht könnte man hier etwas austauschen, weil das Thema ernst genug ist, um es gründlicher und detaillierter zu behandeln.	Maybe this could replace another item, because the issue is serious enough to warrant a more in-depth and detailed study.
Frau Präsidentin! Wir bezweifeln nicht, dass es sich hier um eine wichtige Frage handelt, aber so etwas kommt halt immer wieder vor.	Madam President, we do not doubt that it is an important issue we are discussing here, but this is something that crops up time and again.
In der Vergangenheit haben wir uns stets darauf verständigt, dass wir uns im Rahmen einer umfangreicheren Debatte mit solchen Fällen befassen.	In the past, we always agreed that we would deal with such issues as part of a more comprehensive debate.
Eine Dringlichkeit ist also nicht angemessen, zumal das Thema, das wegfallen soll, auch wichtig ist.	It is therefore inappropriate to invoke the urgent procedure, particularly as the issue which is to be left off the agenda, is so important.
Im Übrigen möchte ich darauf hinweisen - ich konnte zwar selbst wegen des Kongresses unserer Europäischen Volkspartei nicht an der Konferenz der Präsidenten teilnehmen, sondern mein Kollege James Provan hat mich vertreten -, dass darüber ja bereits in der Konferenz der Präsidenten abgestimmt wurde und es also nicht noch einmal neu vorgetragen werden muss.	I would also like to point out - although I was unable to participate in the Conference of Presidents in person, owing to our European People' s Party Congress, my colleague, James Provan, was there to represent me - that the issue has already been voted on in the Conference of Presidents and so there is no need for it to be raised once again.
Wir sind dagegen, dieses Thema zu einer Dringlichkeit zu machen.	We are against invoking the urgent procedure on this issue.
Frau Präsidentin, zunächst sei es Herrn Poettering verziehen, dass er sich geirrt hat, da er schließlich nicht anwesend war.	Madam President, first of all, Mr Poettering can be forgiven for his mistake since he was absent.
Doch ich teile Ihnen mit, Herr Poettering, dass die Konferenz der Präsidenten weder für noch gegen diesen Vorschlag gestimmt hat, und mir wurde nahegelegt, diesen Vorschlag im Plenum vorzubringen, was ich getan habe.	However, Mr Poettering, I would like to tell you that the Conference of Presidents certainly did not vote for or against this motion and it was suggested that I should table this motion in Parliament, which I have done.
Was den Vorschlag von Herrn Barón Crespo betrifft, so bin ich völlig damit einverstanden, den Ausschuss für Beschäftigung und soziale Angelegenheiten mit dem gesamten Problem, also mit Danone und ähnlich gelagerten Fällen, zu befassen, um dann eine umfassendere Aussprache durchzuführen.	Regarding the proposal by Mr Barón Crespo, I am in complete agreement with the proposal to refer the whole matter, i.e. Danone and similar situations, to the Committee on Employment and Social Affairs so that we can then conduct a more general debate on this.
Es ist nicht meine Absicht, diese Frage unbedingt in der Dringlichkeitsdebatte abzuhandeln, doch wir müssen uns mit diesem bedeutenden Missstand befassen, der in der Öffentlichkeit zu großem Unmut führt und eine Reaktion seitens der Europäischen Union erfordert.	I do not necessarily wish that this be treated as an urgent topic, but I do think that we should take note of this grave inconsistency which is stirring up considerable feeling amongst the general public in all our countries, and which, in actual fact, concerns the European Union.
Wenn also die anderen Kolleginnen und Kollegen einverstanden sind, stimme ich einer Befassung des Ausschusses für Beschäftigung und soziale Angelegenheiten voll und ganz zu.	Therefore, if all Members are in agreement, I would certainly wish to refer this matter to the Committee on Employment and Social Affairs.
Herr Wurtz, darf ich daraus schließen, dass Sie Ihren uns vorliegenden unmittelbaren Vorschlag, Punkt 5 der Dringlichkeitsdebatte durch diesen Punkt zu ersetzen, zurückziehen?	Mr Wurtz, should I assume then that you wish to withdraw the current proposal to replace item 5 in the debate on topical and urgent subjects of major importance with this point?
Kann ich davon ausgehen, dass ein breiter Konsens bezüglich des Vorschlags von Herrn Barón Crespo besteht?	May I conclude that there is broad consensus on Mr Barón Crespo' s proposal?
Wie ich sehe, ist dies der Fall.	I can see that this is the case.
Möchte sich ein Vertreter der Fraktion Union für ein Europa der Nationen zu dem Antrag auf Ersetzung des Punktes durch "Lage in Algerien " äußern?	Does any Member of the Union for a Europe of Nations Group wish to present the request to replace the item with "Situation in Algeria" ?
Frau Präsidentin, Sie haben soeben an die uns allen bekannten Schrecken des Terrorismus erinnert.	Madam President, you mentioned earlier the horrors that have been reported, which are related to terrorism.
Daher hätte sich die UEN­Fraktion gewünscht, dass sich dieses Haus in aller Dringlichkeit mit der Lage in Algerien befasst.	Consequently, the Union for a Europe of Nations Group wanted the House to be able to hold an urgent debate on the situation in Algeria.
Wir alle haben in der vergangenen Woche die entsetzlichen Bilder der jüngsten Massaker islamischer Terroristen in Algerien sehen können, die mit jedem Mal die Grenze des Schreckens weiter überschreiten.	Last week, we were all able to witness the television broadcasts of the unbearable images of recent massacres carried out in Algeria by Islamist terrorists who keep pushing back the limits of atrocity.
Daher können wir nicht begreifen, warum das Parlament, das es ansonsten mit der Menschenrechtsproblematik sehr genau nimmt, diesem neuen Beispiel des fanatischen Irrsinns wortlos gegenüber steht.	We cannot, therefore, understand why Parliament, which is always so particular on human rights issues, should remain silent following further evidence of fanatical madness.
Mit der Entscheidung zugunsten einer solchen Aussprache könnten wir erneut bekräftigen, dass alle in den Ländern Nordafrikas, und vor allem in Algerien, ergriffenen Maßnahmen des bedingungslosen Kampfes gegen die Kindermörder und ihre Komplizen eine umfangreiche Unterstützung durch die europäischen Abgeordneten erfahren.	Holding this debate would allow us to reaffirm that all the measures that have been adopted in North African countries, Algeria in particular, to fight relentlessly against child murderers and their accomplices have the overwhelming support of the Members of the European Parliament.
Wir halten es für unsere Aufgabe, dem algerischen Volk eine Botschaft des Mitgefühls und der Solidarität zu übermitteln und die algerische Regierung zu ermutigen, mit Hilfe der Europäischen Union politisch gegen diese Probleme vorzugehen, was den Erwartungen der überwältigenden Mehrheit der algerischen Bevölkerung entsprechen würde, die sich genauso wenig wie wir mit dieser blinden, ihr Land heimsuchenden Gewalt abfinden kann.	We see it as our duty to send the Algerian people a message of our sympathy and solidarity and to encourage the Algerian Government to implement, with the support of the European Union, the policy in this area that is awaited by the vast majority of its citizens, who, like us, are not used to this indiscriminate violence that is ruining their country.
Ich denke, dass jeder, der in den letzten Monaten oder Jahren die Gelegenheit hatte, Algerien zu besuchen, am besten beurteilen kann, was dieser schreckliche Terrorismus für das algerische Volk bedeutet, und in meinen Augen wäre es wirklich angebracht, dieses Problem in der Dringlichkeitsdebatte zu behandeln.	I believe that anyone who has had the opportunity to visit Algeria during recent months or years can make a better assessment of what this terrible outbreak of terrorism means to the Algerian people and, indeed, I believe that it would be to our credit if we dealt with this issue in an urgent debate.
Daher halte ich diesen Vorschlag für zweckmäßig.	I therefore believe that this is a good suggestion.
Frau Präsidentin! Das große Problem besteht darin, dass in dieser Welt so viel geschieht.	Madam President, the big problem is that so much is happening on the world stage.
Bei Betrachtung der einzelnen Fälle fragt man sich, weshalb ihnen nicht höchste Priorität zuerkannt wird.	Looking at the instances individually, we wonder why they are not given the highest priority.
Das gilt hier in Bezug auf Algerien.	This is the case for Algeria.
Andererseits müssen wir zur Kenntnis nehmen, dass Russland ab dem 5. Dezember 2000 für Georgien einseitig die Visumpflicht eingeführt hat.	But then there is also the visa obligation which Russia has unilaterally imposed on Georgia since 5 December 2000.
Kenner dieser Region wissen, dass die Lage dort explosiv ist und wir deshalb wieder von einem Aufflackern der Konflikte in diesem Gebiet ausgehen können.	Whoever is acquainted with the situation across the entire region, knows that this is a burning issue, and we can thus expect conflicts to flare up once again.
Unser parlamentarischer Ausschuss hat nachdrücklich darauf hingewiesen mit dem Ziel, dass dieses Thema hier früher zur Sprache gebracht wird.	Our parliamentary committee has explicitly asked to prioritise this topic, which was shelved last time.
Das wurde letztes Mal verschoben. Daher ist es meiner Ansicht nach durchaus berechtigt, jetzt Aufmerksamkeit für dieses Gebiet zu fordern, um spätere Konflikte weitestgehend zu vermeiden und auch die russischen Behörden damit zu konfrontieren.	So I think it is only fair that we should turn the spotlight on this region, so as to avoid conflict at a later date as far as we can, and also to bring it to the attention of the Russian authorities.
